inventory_date,product_id,product_name,product_category,outlet_id,outlet_name,region_name,city,opening_stock,closing_stock,available_stock,stockout_flag,days_of_supply
2024-01-02,P001,Tempra,Fever & Pain,O008,Semarang Health Mart,Jawa Tengah,Semarang,152,122,122,0,9.8
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O008,Semarang Health Mart,Jawa Tengah,Semarang,133,103,103,0,7.1
2024-01-02,P003,Hemaviton C1000,Vitamin,O008,Semarang Health Mart,Jawa Tengah,Semarang,125,106,106,0,11.5
2024-01-02,P004,Vidoran Smart,Multivitamin,O008,Semarang Health Mart,Jawa Tengah,Semarang,134,90,90,0,9.0
2024-01-02,P005,Marina Skin Care,Skin Care,O008,Semarang Health Mart,Jawa Tengah,Semarang,120,90,90,0,6.8
2024-01-02,P001,Tempra,Fever & Pain,O009,Medan Prime Pharmacy,Sumatera,Medan,101,81,81,0,5.9
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O009,Medan Prime Pharmacy,Sumatera,Medan,114,82,82,0,9.8
2024-01-02,P003,Hemaviton C1000,Vitamin,O009,Medan Prime Pharmacy,Sumatera,Medan,157,124,124,0,10.4
2024-01-02,P004,Vidoran Smart,Multivitamin,O009,Medan Prime Pharmacy,Sumatera,Medan,123,104,104,0,11.1
2024-01-02,P005,Marina Skin Care,Skin Care,O009,Medan Prime Pharmacy,Sumatera,Medan,163,134,134,0,11.0
2024-01-02,P001,Tempra,Fever & Pain,O010,Medan Health Mart,Sumatera,Medan,103,92,92,0,7.6
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O010,Medan Health Mart,Sumatera,Medan,113,96,96,0,10.3
2024-01-02,P003,Hemaviton C1000,Vitamin,O010,Medan Health Mart,Sumatera,Medan,166,126,126,0,10.8
2024-01-02,P004,Vidoran Smart,Multivitamin,O010,Medan Health Mart,Sumatera,Medan,107,78,78,0,5.8
2024-01-02,P005,Marina Skin Care,Skin Care,O010,Medan Health Mart,Sumatera,Medan,120,88,88,0,6.0
2024-01-02,P001,Tempra,Fever & Pain,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,141,116,116,0,12.0
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,160,120,120,0,10.6
2024-01-02,P003,Hemaviton C1000,Vitamin,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,118,106,106,0,7.1
2024-01-02,P004,Vidoran Smart,Multivitamin,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,128,84,84,0,7.2
2024-01-02,P005,Marina Skin Care,Skin Care,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,122,87,87,0,6.3
2024-01-02,P001,Tempra,Fever & Pain,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,91,81,81,0,8.2
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,101,83,83,0,7.3
2024-01-02,P003,Hemaviton C1000,Vitamin,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,150,107,107,0,9.6
2024-01-02,P004,Vidoran Smart,Multivitamin,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,127,85,85,0,7.6
2024-01-02,P005,Marina Skin Care,Skin Care,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,126,89,89,0,8.5
2024-01-02,P001,Tempra,Fever & Pain,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,152,118,118,0,11.1
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,122,93,93,0,8.3
2024-01-02,P003,Hemaviton C1000,Vitamin,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,166,141,141,0,14.9
2024-01-02,P004,Vidoran Smart,Multivitamin,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,103,75,75,0,7.8
2024-01-02,P005,Marina Skin Care,Skin Care,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,83,62,62,0,5.0
2024-01-02,P001,Tempra,Fever & Pain,O014,Makassar Health Mart,Sulawesi,Makassar,97,73,73,0,7.2
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O014,Makassar Health Mart,Sulawesi,Makassar,149,127,127,0,15.2
2024-01-02,P003,Hemaviton C1000,Vitamin,O014,Makassar Health Mart,Sulawesi,Makassar,139,116,116,0,8.0
2024-01-02,P004,Vidoran Smart,Multivitamin,O014,Makassar Health Mart,Sulawesi,Makassar,125,83,83,0,5.9
2024-01-02,P005,Marina Skin Care,Skin Care,O014,Makassar Health Mart,Sulawesi,Makassar,145,109,109,0,10.8
2024-01-03,P001,Tempra,Fever & Pain,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,110,92,92,0,7.1
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,96,72,72,0,8.5
2024-01-03,P003,Hemaviton C1000,Vitamin,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,117,89,89,0,11.0
2024-01-03,P004,Vidoran Smart,Multivitamin,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,98,65,65,0,4.4
2024-01-03,P005,Marina Skin Care,Skin Care,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,85,70,70,0,6.1
2024-01-03,P001,Tempra,Fever & Pain,O002,Bandung Health Mart,Jawa Barat,Bandung,80,66,66,0,5.2
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O002,Bandung Health Mart,Jawa Barat,Bandung,100,66,66,0,5.2
2024-01-03,P003,Hemaviton C1000,Vitamin,O002,Bandung Health Mart,Jawa Barat,Bandung,117,82,82,0,5.5
2024-01-03,P004,Vidoran Smart,Multivitamin,O002,Bandung Health Mart,Jawa Barat,Bandung,122,95,95,0,10.5
2024-01-03,P005,Marina Skin Care,Skin Care,O002,Bandung Health Mart,Jawa Barat,Bandung,149,104,104,0,9.0
2024-01-03,P001,Tempra,Fever & Pain,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,130,96,96,0,10.5
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,163,124,124,0,14.2
2024-01-03,P003,Hemaviton C1000,Vitamin,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,140,110,110,0,11.9
2024-01-03,P004,Vidoran Smart,Multivitamin,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,133,89,89,0,9.6
2024-01-03,P005,Marina Skin Care,Skin Care,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,108,89,89,0,6.8
2024-01-03,P001,Tempra,Fever & Pain,O004,Bekasi Health Mart,Jawa Barat,Bekasi,156,112,112,0,9.2
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O004,Bekasi Health Mart,Jawa Barat,Bekasi,127,103,103,0,8.9
2024-01-03,P003,Hemaviton C1000,Vitamin,O004,Bekasi Health Mart,Jawa Barat,Bekasi,116,101,101,0,11.5
2024-01-03,P004,Vidoran Smart,Multivitamin,O004,Bekasi Health Mart,Jawa Barat,Bekasi,146,130,130,0,10.2
2024-01-03,P005,Marina Skin Care,Skin Care,O004,Bekasi Health Mart,Jawa Barat,Bekasi,136,125,125,0,9.5
2024-01-03,P001,Tempra,Fever & Pain,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,139,98,98,0,8.4
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,124,106,106,0,10.4
2024-01-03,P003,Hemaviton C1000,Vitamin,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,129,101,101,0,11.2
2024-01-03,P004,Vidoran Smart,Multivitamin,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,145,107,107,0,9.4
2024-01-03,P005,Marina Skin Care,Skin Care,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,159,126,126,0,10.7
2024-01-03,P001,Tempra,Fever & Pain,O006,Surabaya Health Mart,Jawa Timur,Surabaya,137,122,122,0,11.0
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O006,Surabaya Health Mart,Jawa Timur,Surabaya,142,115,115,0,9.4
2024-01-03,P003,Hemaviton C1000,Vitamin,O006,Surabaya Health Mart,Jawa Timur,Surabaya,130,103,103,0,7.3
2024-01-03,P004,Vidoran Smart,Multivitamin,O006,Surabaya Health Mart,Jawa Timur,Surabaya,76,61,61,0,5.6
2024-01-03,P005,Marina Skin Care,Skin Care,O006,Surabaya Health Mart,Jawa Timur,Surabaya,72,58,58,0,4.3
2024-01-03,P001,Tempra,Fever & Pain,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,166,127,127,0,15.7
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,137,104,104,0,10.7
2024-01-03,P003,Hemaviton C1000,Vitamin,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,110,100,100,0,12.4
2024-01-03,P004,Vidoran Smart,Multivitamin,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,148,130,130,0,10.4
2024-01-03,P005,Marina Skin Care,Skin Care,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,122,105,105,0,8.7
2024-01-03,P001,Tempra,Fever & Pain,O008,Semarang Health Mart,Jawa Tengah,Semarang,116,87,87,0,9.2
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O008,Semarang Health Mart,Jawa Tengah,Semarang,147,117,117,0,13.1
2024-01-03,P003,Hemaviton C1000,Vitamin,O008,Semarang Health Mart,Jawa Tengah,Semarang,131,96,96,0,8.3
2024-01-03,P004,Vidoran Smart,Multivitamin,O008,Semarang Health Mart,Jawa Tengah,Semarang,85,71,71,0,7.0
2024-01-03,P005,Marina Skin Care,Skin Care,O008,Semarang Health Mart,Jawa Tengah,Semarang,107,89,89,0,6.9
2024-01-03,P001,Tempra,Fever & Pain,O009,Medan Prime Pharmacy,Sumatera,Medan,115,101,101,0,10.3
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O009,Medan Prime Pharmacy,Sumatera,Medan,119,77,77,0,9.6
2024-01-03,P003,Hemaviton C1000,Vitamin,O009,Medan Prime Pharmacy,Sumatera,Medan,125,95,95,0,9.6
2024-01-03,P004,Vidoran Smart,Multivitamin,O009,Medan Prime Pharmacy,Sumatera,Medan,178,148,148,0,17.2
2024-01-03,P005,Marina Skin Care,Skin Care,O009,Medan Prime Pharmacy,Sumatera,Medan,134,98,98,0,12.0
2024-01-03,P001,Tempra,Fever & Pain,O010,Medan Health Mart,Sumatera,Medan,94,81,81,0,5.5
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O010,Medan Health Mart,Sumatera,Medan,82,69,69,0,6.2
2024-01-03,P003,Hemaviton C1000,Vitamin,O010,Medan Health Mart,Sumatera,Medan,130,114,114,0,12.5
2024-01-03,P004,Vidoran Smart,Multivitamin,O010,Medan Health Mart,Sumatera,Medan,122,92,92,0,10.2
2024-01-03,P005,Marina Skin Care,Skin Care,O010,Medan Health Mart,Sumatera,Medan,104,88,88,0,6.5
2024-01-03,P001,Tempra,Fever & Pain,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,141,103,103,0,7.5
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,128,96,96,0,10.1
2024-01-03,P003,Hemaviton C1000,Vitamin,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,153,110,110,0,11.3
2024-01-03,P004,Vidoran Smart,Multivitamin,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,166,142,142,0,17.3
2024-01-03,P005,Marina Skin Care,Skin Care,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,115,91,91,0,7.6
2024-01-03,P001,Tempra,Fever & Pain,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,73,54,54,0,4.5
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,119,98,98,0,6.8
2024-01-03,P003,Hemaviton C1000,Vitamin,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,123,107,107,0,10.3
2024-01-03,P004,Vidoran Smart,Multivitamin,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,106,72,72,0,7.1
2024-01-03,P005,Marina Skin Care,Skin Care,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,81,57,57,0,4.6
2024-01-03,P001,Tempra,Fever & Pain,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,125,111,111,0,10.6
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,120,96,96,0,10.5
2024-01-03,P003,Hemaviton C1000,Vitamin,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,107,67,67,0,5.2
2024-01-03,P004,Vidoran Smart,Multivitamin,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,105,76,76,0,7.9
2024-01-03,P005,Marina Skin Care,Skin Care,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,109,92,92,0,9.1
2024-01-03,P001,Tempra,Fever & Pain,O014,Makassar Health Mart,Sulawesi,Makassar,131,104,104,0,8.7
2024-01-03,P002,Bodrex Flu & Batuk,Cough & Cold,O014,Makassar Health Mart,Sulawesi,Makassar,98,73,73,0,6.4
